colonne;cluster_1;cluster_2;cluster_3;cluster_4;cluster_5
0-1m;130;100;80;70;NA
2-3m;130;120;200;60;NA
4-5m;120;110;NA;NA;NA
6-7m;280;NA;NA;NA;NA
8-9m;210;290;NA;NA;NA
10-11m;90;170;130;140;220
12-13m;190;150;NA;NA;NA
14-15m;140;260;140;NA;NA
16-17m;200;180;170;90;NA
18-19m;210;220;130;160;170
