"pattern";"theoretical_intensity";"sample_size";"my_kappa";"my_mu";"my_scale";"my_r";"expect_disp_ind";"nsim";"mean_random";"median_random";"var_random";"mean_syst";"median_syst";"var_syst";"mean_BAS";"median_BAS";"var_BAS";"prop_zero_random";"prop_zero_syst";"prop_zero_BAS";"mean_estim_vtextbook_random";"mean_estim_vtextbook_syst";"mean_estim_vtextbook_BAS";"mean_estim_v8_syst";"mean_estim_vw_syst";"mean_estim_vstr2_syst";"mean_estim_vnbh_BAS";"mean_estim_vZIP_syst";"mean_estim_vZIP_BAS";"biais_random";"biais_syst";"biais_BAS";"MSE_random";"MSE_syst";"MSE_BAS";"RMSE_random";"RMSE_syst";"RMSE_BAS";"var_ratio_syst";"var_ratio_BAS";"coverage_vtextbook_random";"coverage_vtextbook_syst";"coverage_vtextbook_BAS";"coverage_v8_syst";"coverage_vw_syst";"coverage_vstr2_syst";"coverage_vnbh_BAS";"coverage_vZIP_syst";"coverage_vZIP_BAS";"cluster_diam"
"int1_disp0.4";1;9;NA;NA;NA;0,69;0,392140856;600;1,00052777777778;1;0,0428994466085451;0,997481481481482;1;0,043807958394306;0,998574074074074;1;0,0432078464106845;0,186101851851852;0,187425925925926;0,189287037037037;0,0432336883744856;0,0429525630144033;0,0437805208847737;0,0347930472605279;0,036042733648248;0,0428275170061163;0,0319577563710508;0,0931593983676027;0,0932926908214404;0,000527777777777778;-0,0025185185185185;-0,00142592592592593;0,0429207818930041;0,0438106995884774;0,0432736625514403;0,207088894786636;0,209225646751965;0,207927213904031;1,02412769565388;1,01190004958768;0,880666666666667;0,87825;0,875833333333333;0,8095;0,829;0,87975;0,85075;0,933333333333333;0,92925;NA
"int1_disp0.4";1;25;NA;NA;NA;0,69;0,392140856;600;1,00011666666667;1;0,0156801288814691;1,00173333333333;1;0,0152623826377296;1,00179333333333;1;0,0155774112409571;0,18666;0,185163333333333;0,18598;0,015528681;0,01552492375;0,0155717175833333;0,0116344864948715;0,0118369411719375;0,0154853977772733;0,0114792472066066;0,0397887041232423;0,0397890131215355;0,00011666666666667;0,00173333333333335;0,00179333333333333;0,0156809333333333;0,0152613333333333;0,0155754666666667;0,125193451787981;0,123459554932558;0,124737850327133;0,974906791433587;0,994383339014108;0,928083333333333;0,93475;0,931916666666667;0,847583333333333;0,86275;0,9385;0,893083333333333;0,99275;0,993833333333333;NA
"int1_disp0.4";1;49;NA;NA;NA;0,69;0,392140856;600;1,00072108843537;1;0,00800938975297114;1,00025340136054;0,998979591836735;0,00794001299541996;1,0003112244898;1;0,007889002205768;0,186811224489796;0,186664965986395;0,186639455782313;0,00793280288291337;0,00790824802252534;0,00791518146432042;0,00589431061051056;0,00597896686246373;0,00790473033356538;0,00582974176743613;0,0203117969372342;0,0203146443315359;0,000721088435374162;0,000253401360544203;0,000311224489795909;0,00801374427321949;0,00793457587116479;0,00788584617520477;0,0894647832363753;0,0889893806983614;0,088745781665536;0,995721029895635;0,988939547499836;0,947416666666667;0,946666666666667;0,947583333333333;0,867833333333333;0,877333333333333;0,942583333333333;0,899166666666667;0,99525;0,996833333333333;NA
"int1_disp0.4";1;100;NA;NA;NA;0,69;0,392140856;600;0,999235833333334;0,99975;0,00382885006956038;0,998736666666667;0,99725;0,00413619668892599;0,999954999999999;0,99975;0,00387504830272677;0,187589166666667;0,1875725;0,187016666666667;0,00386827658333333;0,003858832;0,00386413516666667;0,00285505015161473;0,00287335788599928;0,00385062793360548;0,00286075780512382;0,00988750338709705;0,00989956535333724;-0,000764166666666655;-0,00126333333333332;-4,49999999999895e-05;0,00382484166666667;0,0041368;0,00387815;0,0618252005751254;0,0640460598574043;0,0622434860057653;1,07995759754879;1,01331443286953;0,947833333333333;0,937166666666667;0,94475;0,864;0,87275;0,936333333333333;0,9015;0,994083333333333;0,998;NA
"int1_disp0.4";1;196;NA;NA;NA;0,69;0,392140856;600;0,999684948979591;0,999234693877551;0,00196761959677231;1,00003656462585;0,998469387755102;0,00207965817838839;0,999927721088436;1;0,00201412394367307;0,187127551020408;0,187018282312925;0,187102040816327;0,00195130027772883;0,00195201826864341;0,00195206409669048;0,00146235179304453;0,00149944157896801;0,00195347632139682;0,00145326917765191;0,00500225563708774;0,00500171163005501;-0,000315051020408169;3,65646258503609e-05;-7,22789115646214e-05;0,00196898644661946;0,0020783050465084;0,00201391781202277;0,0443533528410403;0,0454583981334328;0,0448538522150806;1,06121506533145;1,02512190626195;0,947666666666667;0,93875;0,944916666666667;0,872916666666667;0,879583333333333;0,93875;0,90325;0,997083333333333;0,99725;NA
"int1_disp0.8";1;9;NA;NA;NA;0,29;0,810312125;600;1,00418518518518;1;0,0918765500800374;1,00055555555556;0,994444444444444;0,0898050729267572;1,00143518518518;1;0,0883167882685134;0,326157407407407;0,328296296296296;0,32862037037037;0,0901677471193416;0,0901680040895062;0,0903334928755144;0,0704545198186543;0,0731650921815373;0,0899096675312056;0,0661137165929658;0,116091868008231;0,116422160711677;0,00418518518518519;0,000555555555555565;0,00143518518518519;0,0918971193415638;0,0898024691358025;0,0883940329218107;0,302967361112129;0,299545483170913;0,29717037097499;0,980317815561001;0,966703025980278;0,902916666666667;0,904583333333333;0,907583333333333;0,824833333333333;0,846666666666667;0,88725;0,855416666666667;0,94475;0,945416666666667;NA
"int1_disp0.8";1;25;NA;NA;NA;0,29;0,810312125;600;1,00076333333333;0,998;0,0325240483027268;1,00304666666667;0,998;0,0326092852531998;0,998666666666667;0,995;0,0326466973845298;0,327893333333333;0,327553333333333;0,32914;0,0323232781666667;0,0324856046666667;0,0323140679166667;0,0242052394984565;0,024614809243252;0,0324098670431932;0,0238176485215892;0,0411541532205067;0,0411255103187567;0,000763333333333355;0,0030466666666667;-0,00133333333333331;0,0324937333333333;0,0326181333333333;0,0326453333333333;0,180196874793989;0,180409815510682;0,180582094478989;1,00543121201785;1,00607853715282;0,93175;0,932083333333333;0,933833333333333;0,853416666666667;0,862583333333333;0,931833333333333;0,887416666666667;0,969833333333333;0,9695;NA
"int1_disp0.8";1;49;NA;NA;NA;0,29;0,810312125;600;1,00183503401361;1,0015306122449;0,0166920871752333;1,00201530612245;0,998979591836735;0,0170294345566921;1,00185034013605;1;0,0164267812266128;0,328146258503401;0,327263605442177;0,32715306122449;0,0165150654896397;0,0164618429052999;0,0164724877099819;0,0121618038311947;0,0125113854338798;0,0164749479279602;0,0121123805955294;0,0206317020177148;0,0206407605466704;0,00183503401360545;0,00201530612244899;0,00185034013605443;0,0167016173816465;0,0170375885047897;0,0164203803970568;0,129212305465096;0,130426699390874;0,128024132228939;1,02138390097444;0,985165312243813;0,941333333333333;0,938;0,943416666666667;0,85675;0,869;0,93475;0,896166666666667;0,957916666666667;0,962333333333333;NA
"int1_disp0.8";1;100;NA;NA;NA;0,29;0,810312125;600;1,00134833333333;0,99975;0,0081078164162493;0,999774166666667;0,997;0,00746443398720089;0,999014166666667;0,997;0,00791527973010574;0,327551666666667;0,32851;0,328869166666667;0,00802508516666667;0,00803057691666667;0,00802389408333333;0,00603615506720639;0,0061441787582483;0,0080344151505723;0,00594461478134442;0,00993954525100118;0,00993586982582528;0,00134833333333333;-0,000225833333333309;-0,000985833333333308;0,00810481666666667;0,00746480833333333;0,00790975833333333;0,0899788786291011;0,0861997025793937;0,0888122704209647;0,924181747179345;0,980570266771167;0,9465;0,956583333333333;0,949666666666667;0,883416666666667;0,89375;0,955916666666667;0,908083333333333;0,973333333333333;0,9705;NA
"int1_disp0.8";1;196;NA;NA;NA;0,29;0,810312125;600;0,999093537414966;0,999489795918368;0,0040141240668016;1,00002678571429;0,998596938775511;0,00435596707018639;1,0008443877551;1,00114795918367;0,00409538996341953;0,328648809523809;0,328201105442177;0,327848639455782;0,00405103014005916;0,00405041218123592;0,00405543445313918;0,00301518522459426;0,00310054483417749;0,00404712400945691;0,00301976855448013;0,00500685136432948;0,00501129653581428;-0,000906462585034034;2,67857142857093e-05;0,000844387755102028;0,00401165313064001;0,00435437708246564;0,00409567628071637;0,0633159793160796;0,0658748581211628;0,063931141531318;1,08521982040516;1,02341335442172;0,9475;0,939166666666667;0,94625;0,868666666666667;0,876833333333333;0,939083333333333;0,904916666666667;0,964916666666667;0,969416666666667;NA
