"pattern";"theoretical_intensity";"my_kappa";"my_mu";"my_scale";"expect_disp_ind"
"int2_disp36";2;0,014142136;141,4213562;0,909375;36,00261279
"int2_disp37";2;0,014142136;141,4213562;0,8921875;36,98714982
"int2_disp38";2;0,014142136;141,4213562;0,874609375;38,03259443
"int2_disp39";2;0,014142136;141,4213562;0,859375;38,9569681
"int2_disp40";2;0,014142136;141,4213562;0,8453125;39,97417332
"int2_disp41";2;0,014142136;141,4213562;0,8296875;40,98812175
"int2_disp42";2;0,014142136;141,4213562;0,815625;41,97603882
"int2_disp43";2;0,014142136;141,4213562;0,799804688;42,97853176
"int2_disp44";2;0,014142136;141,4213562;0,78671875;44,01212709
"int2_disp45";2;0,014142136;141,4213562;0,7734375;45,03054946
"int2_disp46";2;0,014142136;141,4213562;0,760546875;46,04896416
"int2_disp47";2;0,014142136;141,4213562;0,7484375;46,95318717
"int2_disp48";2;0,014142136;141,4213562;0,7359375;48,00322767
"int2_disp49";2;0,014142136;141,4213562;0,725;48,99813267
"int2_disp50";2;0,014142136;141,4213562;0,7125;50,03070417
"int2_disp51";2;0,014142136;141,4213562;0,699902344;51,03765306
"int2_disp52";2;0,014142136;141,4213562;0,690625;52,00141314
"int2_disp53";2;0,014142136;141,4213562;0,67890625;53,00763865
"int2_disp54";2;0,014142136;141,4213562;0,66875;53,99516033
"int2_disp55";2;0,014142136;141,4213562;0,6578125;55,01021859
"int2_disp56";2;0,014142136;141,4213562;0,648535156;55,95523091
"int2_disp57";2;0,014142136;141,4213562;0,6390625;57,02927737
"int2_disp58";2;0,014142136;141,4213562;0,628320313;57,98710917
"int2_disp59";2;0,014142136;141,4213562;0,61953125;58,95407561
"int2_disp60";2;0,014142136;141,4213562;0,60625;60,00709989
"int2_disp61";2;0,014142136;141,4213562;0,598730469;61,04817296
"int2_disp62";2;0,014142136;141,4213562;0,590821457;61,98035999
"int2_disp63";2;0,014142136;141,4213562;0,58046875;63,04686689
"int2_disp64";2;0,014142136;141,4213562;0,571875;63,99465492
"int2_disp65";2;0,014142136;141,4213562;0,5625;64,97202415
"int2_disp66";2;0,014142136;141,4213562;0,553076172;66,01337756
"int2_disp67";2;0,014142136;141,4213562;0,5453125;67,03847324
"int2_disp68";2;0,014142136;141,4213562;0,535742188;67,9864037
"int2_disp69";2;0,014142136;141,4213562;0,5265625;69,0259022
"int2_disp70";2;0,014142136;141,4213562;0,518359375;70,00796068
"int2_disp71";2;0,014142136;141,4213562;0,509375;71,04512385
"int2_disp72";2;0,014142136;141,4213562;0,499902248;72,01083914
"int2_disp73";2;0,014142136;141,4213562;0,493231201;73,04343648
"int2_disp74";2;0,014142136;141,4213562;0,484570313;74,04143317
"int2_disp75";2;0,014142136;141,4213562;0,47578125;75,02917332
"int3_disp2";3;0,017320508;173,2050808;7;2,049481036
"int3_disp3";3;0,017320508;173,2050808;5;2,979130082
"int3_disp4";3;0,017320508;173,2050808;4,125;3,969022447
"int3_disp5";3;0,017320508;173,2050808;3,5;4,966082325
"int3_disp6";3;0,017320508;173,2050808;3,125;6,017846777
"int3_disp7";3;0,017320508;173,2050808;2,84375;6,989246265
"int3_disp8";3;0,017320508;173,2050808;2,625;7,952775959
"int3_disp9";3;0,017320508;173,2050808;2,4375;9,047640898
"int3_disp10";3;0,017320508;173,2050808;2,28125;10,02067844
"int3_disp11";3;0,017320508;173,2050808;2,15625;11,03888452
"int3_disp12";3;0,017320508;173,2050808;2,046875;11,99048715
"int3_disp13";3;0,017320508;173,2050808;1,95625;12,95548884
