colonne;cluster_1;cluster_2;cluster_3;cluster_4;cluster_5
0-1m;60;NA;NA;NA;NA
2-3m;90;60;110;30;50
4-5m;50;30;NA;NA;NA
6-7m;80;50;30;NA;NA
8-9m;NA;NA;NA;NA;NA
10-11m;30;20;30;NA;NA
12-13m;80;40;30;NA;NA
14-15m;20;30;40;NA;NA
16-17m;80;70;NA;NA;NA
18-19m;NA;NA;NA;NA;NA
