"";"y";"x";"count"
"310";10;4;0
"311";11;4;0
"312";12;4;0
"313";13;4;0
"314";14;4;0
"315";15;4;0
"316";16;4;1
"317";17;4;0
"318";18;4;0
"319";19;4;0
"320";20;4;1
"321";21;4;0
"322";22;4;1
"323";23;4;0
"324";24;4;0
"325";25;4;0
"326";26;4;0
"327";27;4;1
"328";28;4;0
"329";29;4;0
"330";30;4;0
"331";31;4;1
"332";32;4;0
"333";33;4;1
"334";34;4;1
"335";35;4;0
"336";36;4;0
"337";37;4;0
"338";38;4;0
"339";39;4;0
"340";40;4;1
"341";41;4;0
"342";42;4;0
"343";43;4;0
"344";44;4;1
"345";45;4;0
"346";46;4;0
"347";47;4;0
"348";48;4;0
"349";49;4;1
"350";50;4;0
"351";51;4;0
"352";52;4;0
"353";53;4;0
"354";54;4;0
"355";55;4;2
"356";56;4;0
"357";57;4;0
"358";58;4;0
"359";59;4;3
"360";60;4;0
"361";61;4;3
"362";62;4;3
"363";63;4;4
"364";64;4;6
"365";65;4;0
"366";66;4;3
"367";67;4;5
"368";68;4;1
"369";69;4;7
"370";70;4;0
"371";71;4;1
"372";72;4;1
"373";73;4;6
"374";74;4;0
"375";75;4;0
"376";76;4;2
"377";77;4;1
"378";78;4;1
"379";79;4;1
"380";80;4;1
"381";81;4;3
"382";82;4;3
"383";83;4;0
"384";84;4;1
"385";85;4;3
"386";86;4;0
"387";87;4;0
"388";88;4;0
"389";89;4;0
"390";90;4;2
"391";91;4;0
"392";92;4;0
"393";93;4;0
"394";94;4;0
"395";95;4;0
"396";96;4;0
"397";97;4;0
"398";98;4;0
"399";99;4;0
"400";100;4;0
"401";1;5;1
"402";2;5;0
"403";3;5;0
"404";4;5;1
"405";5;5;0
"406";6;5;0
"407";7;5;0
"408";8;5;0
"409";9;5;0
"410";10;5;0
"411";11;5;0
"412";12;5;0
"413";13;5;0
"414";14;5;0
"415";15;5;1
"416";16;5;0
"417";17;5;0
"418";18;5;0
"419";19;5;1
"420";20;5;1
"421";21;5;1
"422";22;5;0
"423";23;5;1
"424";24;5;0
"425";25;5;0
"426";26;5;0
"427";27;5;0
"428";28;5;0
"429";29;5;0
"430";30;5;0
"431";31;5;0
"432";32;5;0
"433";33;5;0
"434";34;5;0
"435";35;5;0
"436";36;5;0
"437";37;5;0
"438";38;5;1
"439";39;5;0
"440";40;5;0
"441";41;5;0
"442";42;5;1
"443";43;5;1
"444";44;5;1
"445";45;5;0
"446";46;5;0
"447";47;5;0
"448";48;5;0
"449";49;5;0
"450";50;5;2
"451";51;5;1
"452";52;5;0
"453";53;5;0
"454";54;5;1
"455";55;5;0
"456";56;5;0
"457";57;5;2
"458";58;5;0
"459";59;5;1
"460";60;5;0
"461";61;5;3
"462";62;5;5
"463";63;5;6
"464";64;5;3
"465";65;5;1
"466";66;5;1
"467";67;5;4
"468";68;5;4
"469";69;5;0
"470";70;5;3
"471";71;5;3
"472";72;5;1
"473";73;5;4
"474";74;5;0
"475";75;5;2
"476";76;5;1
"477";77;5;2
"478";78;5;9
"479";79;5;8
"480";80;5;9
"481";81;5;0
"482";82;5;1
"483";83;5;1
"484";84;5;2
"485";85;5;4
"486";86;5;2
"487";87;5;0
"488";88;5;0
"489";89;5;0
"490";90;5;4
"491";91;5;0
"492";92;5;0
"493";93;5;0
"494";94;5;0
"495";95;5;1
"496";96;5;2
"497";97;5;0
"498";98;5;0
"499";99;5;0
"500";100;5;1
"501";1;6;0
"502";2;6;1
