"pattern";"intensity";"pop_size";"dispersion_index";"num_pattern";"nsim";"sample_size";"mean_random";"median_random";"var_random";"mean_syst";"median_syst";"var_syst";"mean_BAS";"median_BAS";"var_BAS";"prop_zero_random";"prop_zero_syst";"prop_zero_BAS";"mean_estim_vtextbook_random";"mean_estim_vtextbook_syst";"mean_estim_vtextbook_BAS";"mean_estim_v8_syst";"mean_estim_vw_syst";"mean_estim_vstr2_syst";"mean_estim_vnbh_BAS";"mean_estim_vZIP_syst";"mean_estim_vZIP_BAS";"biais_random";"biais_syst";"biais_BAS";"MSE_random";"MSE_syst";"MSE_BAS";"RMSE_random";"RMSE_syst";"RMSE_BAS";"var_ratio_syst";"var_ratio_BAS";"coverage_vtextbook_random";"coverage_vtextbook_syst";"coverage_vtextbook_BAS";"coverage_v8_syst";"coverage_vw_syst";"coverage_vstr2_syst";"coverage_vnbh_BAS";"coverage_vZIP_syst";"coverage_vZIP_BAS"
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;9;0,0774444444444444;0;0,0214929868139745;0,0784444444444444;0;0,0211515713244108;0,0844444444444444;0;0,0277610944277611;0,956333333333333;0,957555555555555;0,958;0,0217828469135802;0,0232629950617284;0,0280611419753086;0,0226017512572404;0,0225903789545412;0,0236753812583527;0,0210359320828623;0,0247571123140933;0,0297434530773849;-0,00145555555555556;-0,000455555555555556;0,00554444444444445;0,0214736124691358;0,0211306272839506;0,0277640741975309;0,14653877462684;0,145363775693777;0,166625550854396;0,984115028194143;1,29163501881047;0,333;0,327;0,322;0,321;0,322;0,313;0,322;0,327;0,322
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;16;0,0703125;0;0,0122754590528028;0,078875;0,0625;0,0130183151901902;0,0790625;0;0,0143454978415916;0,960125;0,958;0,958375;0,01146366;0,0143286;0,0141843;0,0135674649542772;0,0137232501307477;0,0163975983235216;0,0106340330480801;0,0145949089689777;0,0151642206959974;-0,0085875;-2,49999999999972e-05;0,000162499999999996;0,01233692875;0,0130052975;0,01433117875;0,111071727950906;0,114040771218017;0,119712901351525;1,06051554847701;1,16863229145929;0,469;0,507;0,49;0,492;0,503;0,507;0,486;0,507;0,49
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;25;0,07988;0,04;0,00901860420420421;0,0732;0,04;0,00852228228228228;0,08176;0,04;0,00948478718718719;0,95784;0,95944;0,95764;0,008881474;0,00793877;0,00995505;0,00710301394442569;0,00697896566211939;0,0087187248733398;0,00752231462482531;0,00845385107988641;0,0101189733816161;0,000980000000000009;-0,0057;0,00286;0,009010546;0,00854625;0,009483482;0,0949238958323983;0,092445930142976;0,0973831710307279;0,944966880607694;1,05169125647688;0,675;0,637;0,681;0,616;0,634;0,637;0,681;0,637;0,681
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;36;0,0811111111111111;0,0555555555555556;0,00650619755558027;0,0766666666666667;0,0555555555555556;0,00623030437845253;0,0806388888888889;0,0555555555555556;0,00624821658077831;0,958444444444444;0,959194444444444;0,957444444444444;0,00699153846560847;0,00635824455026455;0,00666654424162257;0,00568113823488323;0,00548270397916811;0,00642465041788219;0,00494698220305917;0,00602593894568257;0,0066838135524355;0,00221111111111111;-0,00223333333333334;0,00173888888888889;0,00650458037037037;0,00622906185185185;0,00624499209876543;0,0806509787316333;0,0789244059328409;0,0790252624087097;0,957595327413457;0,96034842585118;0,793;0,789;0,808;0,771;0,773;0,732;0,623;0,789;0,808
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;49;0,0788367346938775;0,0612244897959184;0,00510390899020637;0,0800204081632653;0,0612244897959184;0,00479478187058362;0,0789591836734694;0,0612244897959184;0,004164030336042;0,959020408163265;0,957877551020408;0,957897959183673;0,00470582969596002;0,00479972041336943;0,00461996899208663;0,00400805929670529;0,00356704810842609;0,00497424574226668;0,0034065819225115;0,00453761100975211;0,00446176176570169;-6,32653061224536e-05;0,00112040816326531;5,91836734693818e-05;0,00509880908371512;0,00479124240316535;0,00415986980841316;0,0714059457168317;0,0692188009370673;0,0644970527110593;0,939433261796808;0,815851212087078;0,715;0,747;0,74;0,713;0,716;0,743;0,738;0,747;0,74
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;64;0,07846875;0,0625;0,00313387508602352;0,079109375;0,0625;0,00339133835984422;0,076359375;0,0625;0,00308957174948386;0,957890625;0,959;0,958328125;0,00349572790178571;0,00365641858258929;0,00324258030133929;0,00304593277248634;0,00286634928955958;0,00400684647021841;0,00239644930074069;0,00347015581924812;0,00312138407837285;-0,000431249999999994;0,000209374999999998;-0,002540625;0,0031309271875;0,003387990859375;0,003092936953125;0,0559546886998757;0,0582064503244701;0,0556141794250801;1,08215492537304;0,985863081544874;0,764;0,778;0,757;0,734;0,732;0,773;0,755;0,778;0,757
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;81;0,0793333333333333;0,0740740740740741;0,00277011106518803;0,0784197530864198;0,0740740740740741;0,0024661295955306;0,0781975308641975;0,0740740740740741;0,00236670811948971;0,958308641975309;0,958481481481481;0,957901234567901;0,00279753292943149;0,00281165703513184;0,00263453311499771;0,00232713771415955;0,00232435113184138;0,00302375121924638;0,00193334434803884;0,0025967146855303;0,00249671436777653;0,000433333333333327;-0,000480246913580243;-0,000702469135802478;0,00276752873190062;0,00246389410303307;0,00236483487425697;0,0526073068299511;0,0496376278949052;0,0486295679011954;0,890263797189374;0,854373006639377;0,777;0,817;0,816;0,789;0,789;0,839;0,812;0,846;0,837
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;100;0,07864;0,07;0,0022496;0,07902;0,08;0,00211715675675676;0,07696;0,07;0,00201877717717718;0,95849;0,9574;0,95821;0,002262284;0,002195608;0,002104004;0,0018433590599168;0,00168610645739775;0,00232979904752485;0,00155194948803909;0,00197788604672527;0,0019196087679517;-0,000259999999999996;0,000120000000000009;-0,00194;0,002247418;0,002115054;0,002020522;0,0474069404201537;0,0459897162417861;0,0449502169071518;0,941125869824305;0,897393837649883;0,833;0,816;0,818;0,764;0,737;0,83;0,812;0,83;0,838
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;121;0,0787685950413223;0,0743801652892562;0,00184290834103005;0,0774462809917355;0,0743801652892562;0,00162688191914338;0,0804628099173554;0,0743801652892562;0,00169244471573547;0,95802479338843;0,958685950413223;0,95704132231405;0,00183696927020012;0,00178179841882385;0,00189728733180794;0,00143826502713622;0,00140761565517982;0,00190263798681588;0,00139218772231316;0,0015979834061458;0,00167712317973854;-0,000131404958677681;-0,00145371900826446;0,00156280991735537;0,00184108269995219;0,00162736833617922;0,00169319464585752;0,0429078396094722;0,0403406536409516;0,0411484464574001;0,882779616827859;0,918355339793795;0,847;0,857;0,858;0,819;0,812;0,858;0,82;0,861;0,862
"BELSYL";0,0789;789;2,868155;"pattern_3";1000;144;0,0786388888888889;0,0763888888888889;0,0014776072368665;0,0771527777777778;0,0763888888888889;0,00139664645355232;0,0787847222222222;0,0763888888888889;0,00131246094667198;0,958215277777778;0,958381944444444;0,957493055555556;0,00155052659069326;0,00153324729344729;0,00149316016144349;0,00109714801366762;0,00112610184945976;0,00158764957227069;0,00109017625274118;0,00132703188355965;0,00133369699463125;-0,000261111111111115;-0,00174722222222222;-0,00011527777777777;0,00147619780864198;0,00139830259259259;0,00131116177469136;0,0384213197149965;0,0373938844277055;0,0362099678913329;0,945208184357659;0,88823397309238;0,874;0,875;0,879;0,809;0,805;0,855;0,831;0,864;0,869
